P_ACCNUM,Q_ACCNUM,C_ACCNUM,m,n,k,p,HS?,log(p),DS(p),DS(p),min_rec_length,breakpoints
HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,GX2013|Bat-R_sinicus|Guangxi|KJ473815|2012-11,Rs4874|Bat-R_sinicus|Yunnan-Kunming|KY417150|2013-07-21,192,127,40,0.000000000082,0,-10.0888,0.00002,2.450932e-05,668,3244-3251 & 3919-3960,3157-3227 & 3919-3960
YN2018D|Bat-R_affinis|Yunnan|MK211378|2016-09,As6526|Bat-Aselliscus_stoliczkanus|Yunnan-Kunming|KY417142|2014-05-12,YN2018B|Bat-R_affinis|Yunnan|MK211376|2016-09,32,34,33,0.000000000000,0,-15.5273,0.00000,8.930215e-11,2254,1633-1740 & 4720-4822
SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,Rs7327|Bat-R_sinicus|Yunnan--Kunming|KY417151|2014-10-24,239,453,246,0.000000000917,0,-9.0375,0.00028,2.757776e-04,371,454-454 & 5521-5526
YN2013|Bat-R_sinicus|Yunnan|KJ473816|2010-12,Rs7327|Bat-R_sinicus|Yunnan--Kunming|KY417151|2014-10-24,Rs9401|Bat-R_sinicus|Yunnan-Kunming|KY417152|2015-10-16,80,60,38,0.000000000000,0,-13.2628,0.00000,1.641880e-08,1505,2626-2800 & 4306-4365
Rf4092|Bat-R_ferrumequinum|Yunnan-Kunming|KY417145|2012-09-18,YN2018A|Bat-R_affinis|Yunnan|MK211375|2016-09,Rs4084|Bat-R_sinicus|Yunnan-Kunming|KY417144|2012-09-18,61,88,63,0.000000000000,0,-12.9205,0.00000,3.611108e-08,2481,2321-2376 & 5239-5286
HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,Rp3|Bat-R_pearsoni|Guangxi-Nanning|DQ071615|2004-12,RsSHC014|Bat-R_sinicus|Yunnan-Kunming|KC881005|2011-04-17,177,124,43,0.000000000025,0,-10.6085,0.00001,7.406720e-06,608,3080-3101 & 3709-3717
YN2013|Bat-R_sinicus|Yunnan|KJ473816|2010-12,Rf4092|Bat-R_ferrumequinum|Yunnan-Kunming|KY417145|2012-09-18,Rs3367|Bat-R_sinicus|Yunnan-Kunming|KC881006|2012-03-19,59,64,46,0.000000000000,0,-13.0503,0.00000,2.677800e-08,1482,2816-2990 & 4473-4506,2720-2800 & 4473-4506
YN2013|Bat-R_sinicus|Yunnan|KJ473816|2010-12,Rf4092|Bat-R_ferrumequinum|Yunnan-Kunming|KY417145|2012-09-18,WIV1|Bat-R_sinicus|Yunnan-Kunming|KF367457|2012-09,59,64,46,0.000000000000,0,-13.0503,0.00000,2.677800e-08,1482,2816-2990 & 4473-4506,2720-2800 & 4473-4506
YN2018D|Bat-R_affinis|Yunnan|MK211378|2016-09,As6526|Bat-Aselliscus_stoliczkanus|Yunnan-Kunming|KY417142|2014-05-12,YN2018C|Bat-R_affinis|Yunnan-Kunming|MK211377|2016-09,34,32,32,0.000000000000,0,-17.3015,0.00000,1.501959e-12,2362,1741-1752 & 4720-4822
Rs7327|Bat-R_sinicus|Yunnan--Kunming|KY417151|2014-10-24,Rs4231|Bat-R_sinicus|Yunnan-Kunming|KY417146|2013-04-17,As6526|Bat-Aselliscus_stoliczkanus|Yunnan-Kunming|KY417142|2014-05-12,26,83,83,0.000000000000,0,-23.5264,0.00000,8.947267e-19,1160,1240-1290 & 5401-5526
SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,YN2018D|Bat-R_affinis|Yunnan|MK211378|2016-09,231,462,266,0.000000000011,0,-10.9457,0.00000,3.407299e-06,371,454-454 & 5521-5526
WIV16|Bat-R_sinicus|Yunnan-Kunming|KT444582|2013-07-21,Rs9401|Bat-R_sinicus|Yunnan-Kunming|KY417152|2015-10-16,Rs4081|Bat-R_sinicus|Yunnan-Kunming|KY417143|2012-09-18,81,15,13,0.000000000003,0,-11.5637,0.00000,8.211075e-07,834,3339-3418 & 4252-4296
Rs4084|Bat-R_sinicus|Yunnan-Kunming|KY417144|2012-09-18,Rs7327|Bat-R_sinicus|Yunnan--Kunming|KY417151|2014-10-24,Rs4255|Bat-R_sinicus|Yunnan-Kunming|KY417149|2013-04-17,71,67,41,0.000000000014,0,-10.8575,0.00000,4.175155e-06,1772,2439-2547 & 4321-4365
YN2013|Bat-R_sinicus|Yunnan|KJ473816|2010-12,Rs7327|Bat-R_sinicus|Yunnan--Kunming|KY417151|2014-10-24,Rs4237|Bat-R_sinicus|Yunnan-Kunming|KY417147|2013-04-17,78,63,40,0.000000000000,0,-13.0751,0.00000,2.529190e-08,1505,2626-2800 & 4306-4365,2439-2547 & 4306-4365
HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,GX2013|Bat-R_sinicus|Guangxi|KJ473815|2012-11,Rs4247|Bat-R_sinicus|Yunnan-Kunming|KY417148|2013-04-17,189,129,41,0.000000000112,0,-9.9513,0.00003,3.364010e-05,668,3244-3251 & 3919-3960,3157-3227 & 3919-3960
Yunnan2011|Bat-Chaerephon_plicata|Yunnan|JX993988|2011-11,GX2013|Bat-R_sinicus|Guangxi|KJ473815|2012-11,Rs672|Bat-R_sinicus|Guizhou|FJ588686|2006-09,183,116,35,0.000000000976,0,-9.0105,0.00029,2.934669e-04,668,4681-4698 & 5368-5391
YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,Yunnan2011|Bat-Chaerephon_plicata|Yunnan|JX993988|2011-11,YN2018A|Bat-R_affinis|Yunnan|MK211375|2016-09,145,162,70,0.000000000539,0,-9.2684,0.00016,1.620556e-04,968,215-269 & 4650-4665,123-158 & 4650-4665,111-113 & 4650-4665
YN2018A|Bat-R_affinis|Yunnan|MK211375|2016-09,Rs4237|Bat-R_sinicus|Yunnan-Kunming|KY417147|2013-04-17,YN2013|Bat-R_sinicus|Yunnan|KJ473816|2010-12,81,53,34,0.000000000000,0,-13.4341,0.00000,1.106708e-08,2040,159-203 & 2321-2400
SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,Anlong-103|Bat-R_sinicus|Guizhou-Anlong|KY770858|2013,238,454,248,0.000000000746,0,-9.1274,0.00022,2.242115e-04,371,454-454 & 5434-5436,454-454 & 5439-5478,454-454 & 5521-5526
SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,Anlong-112|Bat-R_sinicus|Guizhou-Anlong|KY770859|2013,238,454,248,0.000000000746,0,-9.1274,0.00022,2.242115e-04,371,454-454 & 5434-5436,454-454 & 5439-5478,454-454 & 5521-5526
YNLF_34C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886809|2013-05-23,Anlong-112|Bat-R_sinicus|Guizhou-Anlong|KY770859|2013,HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,104,127,83,0.000000000000,0,-18.4177,0.00000,1.149376e-13,2228,24-113 & 3303-3317
As6526|Bat-Aselliscus_stoliczkanus|Yunnan-Kunming|KY417142|2014-05-12,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,349,116,38,0.000000000000,0,-19.7032,0.00000,5.955299e-15,499,3240-3243 & 3742-3744
As6526|Bat-Aselliscus_stoliczkanus|Yunnan-Kunming|KY417142|2014-05-12,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,YNLF_34C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886809|2013-05-23,349,116,38,0.000000000000,0,-19.7032,0.00000,5.955299e-15,499,3240-3243 & 3742-3744
YN2018B|Bat-R_affinis|Yunnan|MK211376|2016-09,RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,245,372,175,0.000000000018,0,-10.7420,0.00001,5.446307e-06,398,361-384 & 5422-5430,355-357 & 5422-5430,316-321 & 5422-5430,304-312 & 5422-5430
F46|Bat-R_pusillus|Yunnan|KU973692|2012,HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,Yunnan2011|Bat-Chaerephon_plicata|Yunnan|JX993988|2011-11,134,320,221,0.000000000000,0,-14.7564,0.00000,5.269059e-10,825,0-2 & 4639-4659,0-2 & 4663-4665,0-2 & 4667-4698
RaTG13|Bat-R_affinis|Yunnan|EPI_ISL_402131|2013-07-24,BM48-31|Bat-R_blasii|Bulgaria|NC_014470|2008-04,HKU3-7|Bat-R_sinicus|Guangdong|GQ153542|2006-02-15,602,634,128,0.000000064257,0,-7.1921,0.01914,1.913639e-02,2188,1625-1626 & 3816-3816,1625-1626 & 3839-3839,1625-1626 & 3844-3844,1625-1626 & 3847-3852,1625-1626 & 3863-3864
RaTG13|Bat-R_affinis|Yunnan|EPI_ISL_402131|2013-07-24,BM48-31|Bat-R_blasii|Bulgaria|NC_014470|2008-04,HKU3-8|Bat-R_sinicus|Guangdong|GQ153543|2006-02-15,602,634,128,0.000000064257,0,-7.1921,0.01914,1.913639e-02,2188,1625-1626 & 3816-3816,1625-1626 & 3839-3839,1625-1626 & 3844-3844,1625-1626 & 3847-3852,1625-1626 & 3863-3864
